Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -2,      4.727841, ,            -2,      4.276115, ,            -2,       5.26197, , 
         -1.8,       4.57992, ,          -1.8,      4.191911, ,          -1.8,      5.138303, , 
         -1.6,      4.437611, ,          -1.6,      4.095703, ,          -1.6,      5.032188, , 
         -1.4,      4.325728, ,          -1.4,      4.007959, ,          -1.4,      4.942959, , 
         -1.2,      4.253173, ,          -1.2,      3.970256, ,          -1.2,      4.869942, , 
           -1,      4.186377, ,            -1,      3.926633, ,            -1,      4.810108, , 
         -0.8,      4.135853, ,          -0.8,      3.896899, ,          -0.8,      4.761934, , 
         -0.6,       4.10218, ,          -0.6,      3.877094, ,          -0.6,      4.723984, , 
         -0.4,      4.080199, ,          -0.4,      3.862639, ,          -0.4,      4.694128, , 
         -0.2,      4.067076, ,          -0.2,      3.858788, ,          -0.2,      4.670412, , 
            0,      4.060987, ,             0,      3.859014, ,             0,      4.651481, , 
          0.2,      4.061232, ,           0.2,      3.863959, ,           0.2,      4.636593, , 
          0.4,      4.066662, ,           0.4,      3.873197, ,           0.4,      4.625554, , 
          0.6,      4.076337, ,           0.6,      3.885751, ,           0.6,      4.618046, , 
          0.8,      4.088906, ,           0.8,      3.902483, ,           0.8,      4.616567, , 
            1,      4.104047, ,             1,       3.92178, ,             1,      4.615755, , 
          1.2,      4.121447, ,           1.2,      3.943309, ,           1.2,      4.618095, , 
          1.4,      4.140742, ,           1.4,       3.96681, ,           1.4,      4.623355, , 
          1.6,       4.16191, ,           1.6,      3.991863, ,           1.6,        4.6315, , 
          1.8,      4.184627, ,           1.8,      4.017911, ,           1.8,      4.642316, , 
            2,      4.208816, ,             2,      4.045473, ,             2,      4.655614, , 
          2.2,      4.234355, ,           2.2,      4.074187, ,           2.2,      4.675204, , 
          2.4,      4.261124, ,           2.4,      4.103815, ,           2.4,      4.693047, , 
          2.6,      4.289008, ,           2.6,      4.134279, ,           2.6,      4.714836, , 
          2.8,       4.31796, ,           2.8,      4.165741, ,           2.8,      4.736334, , 
            3,      4.347918, ,             3,      4.197808, ,             3,      4.759575, , 
          3.2,      4.378819, ,           3.2,      4.230829, ,           3.2,      4.784513, , 
          3.4,      4.410559, ,           3.4,      4.264512, ,           3.4,      4.810877, , 
          3.6,      4.443054, ,           3.6,      4.298806, ,           3.6,      4.838583, , 

